"Language","original","english","russian","spanish","portuguese","italian","german","chinesesimp","french","polish","czech","turkish","ukrainian","japanese","korean","chinesetrad","arabic"
"STR_WB_CIRCULAR_SAW","Циркулярка","Circular Saw","Циркулярка","Sierra circular","Serra circular","Sega circolare","Kreissäge","圆锯","Scie circulaire","Piła tarczowa","Kotoučová pila","Daire Testere","Циркулярка","丸ノコ","원형 톱","圓鋸","منشار دائري"
"STR_WB_BOX","Ящик","Box","Ящик","Caja","Caixa","Cassetta","Kiste","箱子","Boîte","Skrzynka","Bedna","Kutu","Ящик","箱","상자","箱子","صندوق"
"STR_WB_WELDER","Сварочный аппарат","Welding Machine","Сварочный аппарат","Soldadora","Máquina de solda","Saldatrice","Schweißgerät","焊机","Poste à souder","Spawarka","Svářečka","Kaynak Makinesi","Зварювальний апарат","溶接機","용접기","焊接機","آلة لحام"
"STR_WB_DRILL","Дрель","Drill","Дрель","Taladro","Furadeira","Trapano","Bohrmaschine","电钻","Perceuse","Wiertarka","Vrtačka","Matkap","Дриль","ドリル","드릴","電鑽","مثقاب"
"STR_WB_VISE","Тиски","Vise","Тиски","Tornillo de banco","Morsa","Morsa","Schraubstock","虎钳","Étau","Imadło","Svěrák","Mengene","Лещата","万力","바이스","虎鉗","ملزمة"
"STR_WB_ANVIL","Наковальня","Anvil","Наковальня","Yunque","Bigorna","Incudine","Amboss","铁砧","Enclume","Kowadło","Kovadlina","Örs","Ковадло","金床","모루","鐵砧","سندان"
"STR_WB_TRIPOD","Штатив","Tripod","Штатив","Trípode","Tripé","Treppiede","Stativ","三脚架","Trépied","Statyw","Stativ","Tripod","Штатив","三脚","삼각대","三腳架","حامل ثلاثي"
"STR_Craft_WB_Player","Универсальный станок","Universal Workbench","Универсальный станок","Banco de trabajo universal","Bancada universal","Banco da lavoro universale","Universelle Werkbank","通用工作台","Établi universel","Uniwersalny stół roboczy","Univerzální pracovní stůl","Evrensel Tezgah","Універсальний верстат","万能作業台","범용 작업대","通用工作臺","طاولة عمل متعددة الاستخدامات"
"STR_Player_Verstak_description","Универсальный верстак с расширенными возможностями апгрейда","Universal Workbench with Advanced Upgrade Options","Универсальный верстак с расширенными возможностями апгрейда","Banco de trabajo universal con opciones avanzadas de mejora","Bancada universal com opções avançadas de melhoria","Banco da lavoro universale con opzioni di potenziamento avanzate","Universelle Werkbank mit erweiterten Upgrade-Möglichkeiten","具有高级升级选项的通用工作台","Établi universel avec options d’amélioration avancées","Uniwersalny stół roboczy z zaawansowanymi opcjami ulepszeń","Univerzální pracovní stůl s rozšířenými možnostmi vylepšení","Gelişmiş yükseltme seçeneklerine sahip evrensel tezgah","Універсальний верстат з розширеними можливостями апгрейду","高度なアップグレード機能を備えた万能作業台","고급 업그레이드 기능을 갖춘 범용 작업대","具備進階升級選項的通用工作臺","طاولة عمل عالمية مع خيارات ترقية متقدمة"
"STR_Craft_WB_Player_Kit","Универсальный станок","Universal Workbench","Универсальный станок","Banco de trabajo universal","Bancada universal","Banco da lavoro universale","Universelle Werkbank","通用工作台","Établi universel","Uniwersalny stół roboczy","Univerzální pracovní stůl","Evrensel Tezgah","Універсальний верстат","万能作業台","범용 작업대","通用工作臺","طاولة عمل متعددة الاستخدامات"
"STR_DRL_RELOAD_CRAFT_CONFIG","Обновление рецептов","Reload Recipes","Обновление рецептов","Actualizar recetas","Atualizar receitas","Aggiorna ricette","Rezepte neu laden","重新加载配方","Recharger les recettes","Przeładuj receptury","Znovu načíst recepty","Tarifleri yeniden yükle","Оновлення рецептів","レシピを再読み込み","레시피 새로고침","重新載入配方","إعادة تحميل الوصفات"
